 
****************************************
Report : area
Design : worker
Version: O-2018.06
Date   : Sun Jan 12 20:15:02 2020
****************************************

Library(s) Used:

    saed32hvt_ss0p95v125c (File: /usr/cadtool/SAED32_EDK/lib/stdcell_hvt/db_nldm/saed32hvt_ss0p95v125c.db)

Number of ports:                         1931
Number of nets:                         30670
Number of cells:                        24415
Number of combinational cells:          17532
Number of sequential cells:              6840
Number of macros/black boxes:               0
Number of buf/inv:                       1413
Number of references:                      76

Combinational area:              48266.265921
Buf/Inv area:                     1839.748422
Noncombinational area:           45131.401283
Macro/Black Box area:                0.000000
Net Interconnect area:           33768.937022

Total cell area:                 93397.667204
Total area:                     127166.604227

Hierarchical area distribution
------------------------------

                                  Global cell area            Local cell area
                                  -------------------  ------------------------------ 
Hierarchical cell                 Absolute    Percent  Combi-      Noncombi-   Black-
                                  Total       Total    national    national    boxes   Design
--------------------------------  ----------  -------  ----------  ----------  ------  ---------------------------------------
worker                            93397.6672    100.0  48124.1994  44912.8374  0.0000  worker
clk_gate_next_waddr_reg               8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_0
clk_gate_proposal_cnt_reg_0_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_16
clk_gate_proposal_cnt_reg_10_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_6
clk_gate_proposal_cnt_reg_11_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_5
clk_gate_proposal_cnt_reg_12_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_4
clk_gate_proposal_cnt_reg_13_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_3
clk_gate_proposal_cnt_reg_14_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_2
clk_gate_proposal_cnt_reg_15_         8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_1
clk_gate_proposal_cnt_reg_1_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_15
clk_gate_proposal_cnt_reg_2_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_14
clk_gate_proposal_cnt_reg_3_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_13
clk_gate_proposal_cnt_reg_4_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_12
clk_gate_proposal_cnt_reg_5_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_11
clk_gate_proposal_cnt_reg_6_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_10
clk_gate_proposal_cnt_reg_7_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_9
clk_gate_proposal_cnt_reg_8_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_8
clk_gate_proposal_cnt_reg_9_          8.3868      0.0      3.3039      5.0829  0.0000  SNPS_CLOCK_GATE_HIGH_worker_mydesign_7
